id;name
54;Детские товары и игрушки->Активный отдых и улица->Самокаты
55;Детские товары и игрушки->Активный отдых и улица->Скейтборды
56;Детские товары и игрушки->Активный отдых и улица->Детские электромобили
57;Детские товары и игрушки->Активный отдых и улица->Каталки
58;Детские товары и игрушки->Активный отдых и улица->Веломобили
59;Детские товары и игрушки->Активный отдых и улица->Санки
60;Детские товары и игрушки->Активный отдых и улица->Горки
61;Детские товары и игрушки->Активный отдых и улица->Качели и качалки
62;Детские товары и игрушки->Активный отдых и улица->Батуты
63;Детские товары и игрушки->Активный отдых и улица->Надувные бассейны
64;Детские товары и игрушки->Активный отдых и улица->Каркасные бассейны
65;Детские товары и игрушки->Активный отдых и улица->Игровые и спортивные площадки
66;Детские товары и игрушки->Радиоуправляемые модели->Радиоуправляемые машины
67;Детские товары и игрушки->Радиоуправляемые модели->Квадрокоптеры
68;Детские товары и игрушки->Радиоуправляемые модели->Радиоуправляемые вертолеты
69;Детские товары и игрушки->Радиоуправляемые модели->Радиоуправляемые самолеты
70;Детские товары и игрушки->Радиоуправляемые модели->Радиоуправляемые катера
71;Детские товары и игрушки->Радиоуправляемые модели->Танки на радиоуправлении
72;Детские товары и игрушки->Школьные товары->Школьные рюкзаки и ранцы
73;Детские товары и игрушки->Школьные товары->Ручки
74;Детские товары и игрушки->Школьные товары->Карандаши
75;Инструмент и садовая техника->Электроинструмент->Пилы
76;Инструмент и садовая техника->Электроинструмент->Дрели, шуроповерт
77;Инструмент и садовая техника->Электроинструмент->Биты
78;Инструмент и садовая техника->Электроинструмент->Перфораторы
79;Инструмент и садовая техника->Электроинструмент->Отбойные молотки
80;Инструмент и садовая техника->Электроинструмент->Миксеры строительные
81;Инструмент и садовая техника->Электроинструмент->Шлифовальные машины
82;Инструмент и садовая техника->Электроинструмент->Фрезеры
83;Инструмент и садовая техника->Электроинструмент->Электролобзики
84;Инструмент и садовая техника->Электроинструмент->Многофункциональный инструмент
85;Инструмент и садовая техника->Электроинструмент->Электрорубанки
86;Инструмент и садовая техника->Электроинструмент->Строительные фены
87;Инструмент и садовая техника->Электроинструмент->Паяльники
88;Инструмент и садовая техника->Электроинструмент->Строительные степлеры
89;Инструмент и садовая техника->Оборудование и станки->Генераторы
90;Инструмент и садовая техника->Оборудование и станки->Стабилизаторы напряжения
91;Инструмент и садовая техника->Оборудование и станки->ИБП
92;Инструмент и садовая техника->Оборудование и станки->Металлоискатели
93;Инструмент и садовая техника->Оборудование и станки->Сварочные аппараты
94;Инструмент и садовая техника->Оборудование и станки->Компрессоры
95;Инструмент и садовая техника->Оборудование и станки->Двигатели
96;Инструмент и садовая техника->Оборудование и станки->Точильно-шлифовальные станки
97;Инструмент и садовая техника->Оборудование и станки->Сверлильные станки
98;Инструмент и садовая техника->Оборудование и станки->Мультиметры и вольтметры
99;Инструмент и садовая техника->Оборудование и станки->Тали и лебедки
100;Инструмент и садовая техника->Садовая техника->Снегоуборщики
101;Инструмент и садовая техника->Садовая техника->Газонокосилки
102;Инструмент и садовая техника->Садовая техника->Аэраторы и скарификаторы
103;Инструмент и садовая техника->Садовая техника->Мотоблоки и культиваторы
104;Инструмент и садовая техника->Садовая техника->Дровоколы
105;Инструмент и садовая техника->Садовая техника->Садовые воздуходувки-пылесосы
106;Инструмент и садовая техника->Садовая техника->Уборочные машины
107;Инструмент и садовая техника->Садовая техника->Тачки и тележки
108;Инструмент и садовая техника->Садовая техника->Кусторезы
109;Инструмент и садовая техника->Садовая техника->Пилы
110;Инструмент и садовая техника->Садовая техника->Дождеватели
111;Инструмент и садовая техника->Садовая техника->Ручные распылители
112;Инструмент и садовая техника->Ручной садовый инструмент->Секаторы и садовые ножницы
113;Инструмент и садовая техника->Ручной садовый инструмент->Опрыскиватели
114;Инструмент и садовая техника->Ручной садовый инструмент->Лопаты
115;Инструмент и садовая техника->Строительство->Бетономешалки
116;Инструмент и садовая техника->Строительство->Лазерные нивелиры, дальномеры
117;Инструмент и садовая техника->Строительство->Уровни и правила
118;Инструмент и садовая техника->Строительство->Виброплиты
119;Инструмент и садовая техника->Строительство->Плиткорезы
120;Инструмент и садовая техника->Строительство->Мотобуры
121;Инструмент и садовая техника->Строительство->Строительные фены
122;Инструмент и садовая техника->Строительство->Краскопульты
123;Инструмент и садовая техника->Строительство->Штроборезы и швонарезчики
124;Инструмент и садовая техника->Строительство->Клеевые пистолеты
125;Инструмент и садовая техника->Ручной инструмент->Ящики для инструмента
126;Инструмент и садовая техника->Ручной инструмент->Наборы инструментов
127;Инструмент и садовая техника->Ручной инструмент->Биты и торцевые головки
128;Инструмент и садовая техника->Ручной инструмент->Ножовки
129;Инструмент и садовая техника->Ручной инструмент->Топоры
130;Инструмент и садовая техника->Ручной инструмент->Тиски и струбцины
131;Инструмент и садовая техника->Ручной инструмент->Ножницы по металлу
132;Инструмент и садовая техника->Лестницы и стремянки
133;Офис и канцелярия->Канцелярия->Блокноты
134;Офис и канцелярия->Канцелярия->Ежедневники
135;Офис и канцелярия->Канцелярия->Ручки
136;Офис и канцелярия->Канцелярия->Карандаши
137;Крупная бытовая техника->Встраиваемая техника->Варочные поверхности
138;Крупная бытовая техника->Встраиваемая техника->Духовые шкафы
139;Крупная бытовая техника->Встраиваемая техника->Встраиваемые комплекты
140;Крупная бытовая техника->Встраиваемая техника->Вытяжки
141;Крупная бытовая техника->Встраиваемая техника->Встраиваемые посудомоечные машины
142;Крупная бытовая техника->Встраиваемая техника->Встраиваемые холодильники
143;Крупная бытовая техника->Встраиваемая техника->Встраиваемые морозильные камеры
144;Крупная бытовая техника->Встраиваемая техника->Встраиваемые винные шкафы
145;Крупная бытовая техника->Встраиваемая техника->Встраиваемые микроволновые печи
146;Крупная бытовая техника->Встраиваемая техника->Кухонные мойки
147;Крупная бытовая техника->Встраиваемая техника->Встраиваемые пароварки
148;Крупная бытовая техника->Встраиваемая техника->Встраиваемые кофеварки
149;Крупная бытовая техника->Встраиваемая техника->Измельчители отходов
150;Крупная бытовая техника->Стиральные машины
151;Крупная бытовая техника->Холодильники
152;Крупная бытовая техника->Морозильные камеры
153;Крупная бытовая техника->Винные шкафы
154;Крупная бытовая техника->Плиты
155;Крупная бытовая техника->Посудомоечные машины
156;Крупная бытовая техника->Мелкая бытовая техника->Кухня->Кухонные комбайны
157;Крупная бытовая техника->Мелкая бытовая техника->Кухня->Мясорубки
158;Крупная бытовая техника->Мелкая бытовая техника->Кухня->Соковыжималки
159;Крупная бытовая техника->Мелкая бытовая техника->Кухня->Хлебопечки
160;Крупная бытовая техника->Мелкая бытовая техника->Кухня->Микроволновые печи
161;Крупная бытовая техника->Мелкая бытовая техника->Кухня->Электродуховки
162;Крупная бытовая техника->Мелкая бытовая техника->Кухня->Миксеры и блендеры
163;Крупная бытовая техника->Мелкая бытовая техника->Кухня->Электрочайники
164;Крупная бытовая техника->Мелкая бытовая техника->Кухня->Мультиварки
165;Крупная бытовая техника->Мелкая бытовая техника->Кухня->Пароварки и яйцеварки
166;Крупная бытовая техника->Мелкая бытовая техника->Кухня->Кофеварки
167;Крупная бытовая техника->Мелкая бытовая техника->Кухня->Кофемолки
168;Крупная бытовая техника->Мелкая бытовая техника->Кухня->Тостеры
169;Крупная бытовая техника->Мелкая бытовая техника->Кухня->Сушилки фруктов
170;Крупная бытовая техника->Мелкая бытовая техника->Кухня->Весы
171;Крупная бытовая техника->Мелкая бытовая техника->Кухня->Электрогрили
172;Крупная бытовая техника->Мелкая бытовая техника->Кухня->Аэрогрили
173;Крупная бытовая техника->Мелкая бытовая техника->Кухня->Фритюрницы
174;Крупная бытовая техника->Мелкая бытовая техника->Кухня->Йогуртницы / мороженицы
175;Крупная бытовая техника->Мелкая бытовая техника->Кухня->Блинницы
176;Крупная бытовая техника->Мелкая бытовая техника->Кухня->Слайсеры
177;Крупная бытовая техника->Мелкая бытовая техника->Кухня->Вакуумные упаковщики
178;Крупная бытовая техника->Мелкая бытовая техника->Бытовые приборы для дома->Утюги
179;Крупная бытовая техника->Мелкая бытовая техника->Бытовые приборы для дома->Гладильные доски
180;Крупная бытовая техника->Мелкая бытовая техника->Бытовые приборы для дома->Сушилки для белья
181;Крупная бытовая техника->Мелкая бытовая техника->Бытовые приборы для дома->Пылесосы
182;Крупная бытовая техника->Мелкая бытовая техника->Бытовые приборы для дома->Пароочистители
183;Крупная бытовая техника->Мелкая бытовая техника->Бытовые приборы для дома->Термометры / барометры
184;Крупная бытовая техника->Мелкая бытовая техника->Бытовые приборы для дома->Метеостанции
185;Крупная бытовая техника->Мелкая бытовая техника->Бытовые приборы для дома->Фильтры для воды
186;Крупная бытовая техника->Мелкая бытовая техника->Бытовые приборы для дома->Картриджи для воды
187;Крупная бытовая техника->Мелкая бытовая техника->Бытовые приборы для дома->Швейные машины, оверлоки
188;Крупная бытовая техника->Мелкая бытовая техника->Бытовые приборы для дома->Машинки для удаления катышков
189;Крупная бытовая техника->Мелкая бытовая техника->Бытовые приборы для дома->Сушки для обуви
190;Крупная бытовая техника->Мелкая бытовая техника->Красота и гигиена->Фены и приборы для укладки
191;Крупная бытовая техника->Мелкая бытовая техника->Красота и гигиена->Эпиляторы
192;Крупная бытовая техника->Мелкая бытовая техника->Красота и гигиена->Электробритвы
193;Крупная бытовая техника->Мелкая бытовая техника->Красота и гигиена->Машинки для стрижки волос
194;Крупная бытовая техника->Мелкая бытовая техника->Красота и гигиена->Маникюрные наборы
195;Крупная бытовая техника->Мелкая бытовая техника->Красота и гигиена->Электрические зубные щетки
196;Крупная бытовая техника->Мелкая бытовая техника->Красота и гигиена->Массажные ванночки для ног
197;Крупная бытовая техника->Мелкая бытовая техника->Красота и гигиена->Массажеры для тела
198;Крупная бытовая техника->Мелкая бытовая техника->Красота и гигиена->Вибротренажеры
199;Крупная бытовая техника->Мелкая бытовая техника->Красота и гигиена->Массажные кресла
200;Крупная бытовая техника->Мелкая бытовая техника->Медицина и реабилитация->Медицинские термометры
201;Крупная бытовая техника->Мелкая бытовая техника->Медицина и реабилитация->Тонометры
202;Крупная бытовая техника->Мелкая бытовая техника->Медицина и реабилитация->Ингаляторы (небулайзеры)
203;Крупная бытовая техника->Мелкая бытовая техника->Медицина и реабилитация->Глюкометры
204;Крупная бытовая техника->Микроволновые печи
205;Крупная бытовая техника->Электродуховки
206;Крупная бытовая техника->Уборочные машины
207;Крупная бытовая техника->Водонагреватели
208;Крупная бытовая техника->Кулеры и пурифайеры
209;Мобильные и связь->Мобильные и аксессуары->Мобильные телефоны
210;ТВ и видеотехника->LCD телевизоры
211;ТВ и видеотехника->Подставки и крепления
212;ТВ и видеотехника->Медиаплееры
213;ТВ и видеотехника->ТВ тюнеры
214;ТВ и видеотехника->ТВ антенны
215;ТВ и видеотехника->3D очки
216;ТВ и видеотехника->Очки виртуальной реальности
217;ТВ и видеотехника->Проекционное оборудование->Проекторы
218;ТВ и видеотехника->Проекционное оборудование->Проекционные экраны
219;ТВ и видеотехника->Проекционное оборудование->Крепления для проекторов
220;ТВ и видеотехника->Видеокамеры и аксессуары->Видеокамеры
221;ТВ и видеотехника->Видеокамеры и аксессуары->Карты памяти
222;ТВ и видеотехника->Видеокамеры и аксессуары->Сумки для камер
223;ТВ и видеотехника->Видеокамеры и аксессуары->Action камеры
224;ТВ и видеотехника->Видеокамеры и аксессуары->Видеорегистраторы
225;ТВ и видеотехника->Видеокамеры и аксессуары->Штативы
226;ТВ и видеотехника->DVD/Blu-ray плееры
